direction,position,mean,std,count,family,instrument
block_ab,13,0.09984526857733726,0.25909222743708954,10,suicide,lens
block_ab,14,0.15215009842067956,0.1483854149860344,10,suicide,lens
block_ab,15,0.2325079545378685,0.08615540392774929,10,suicide,lens
block_ab,16,0.18351495191454886,0.18955645283273834,10,suicide,lens
block_ab,17,0.10424615517258644,0.2639581663950627,10,suicide,lens
block_ab,18,0.23377639204263687,0.047129604213152654,10,suicide,lens
block_ab,19,0.12100323289632797,0.26363031996789027,10,suicide,lens
block_ab,20,0.38347762674093244,0.27513455812485843,10,suicide,lens
block_ab,21,0.3732598781585693,0.2218041029942734,10,suicide,lens
block_ab,22,0.32670987099409105,0.16608411109174437,10,suicide,lens
block_ab,23,0.24763110429048538,0.20127763289708647,10,suicide,lens
block_ab,24,0.09189690351486206,0.3509421224408869,10,suicide,lens
block_ab,25,0.26503378450870513,0.24290471772117106,10,suicide,lens
block_ab,26,0.3074683129787445,0.1017072230161889,10,suicide,lens
block_ab,27,0.1598527543246746,0.3003012419401294,10,suicide,lens
block_ab,28,0.16452828347682952,0.28221899468024847,10,suicide,lens
block_ab,29,0.1978168621659279,0.18876567350608245,10,suicide,lens
block_ab,30,0.05243527889251709,0.26758455754797356,10,suicide,lens
block_ab,31,0.05375371128320694,0.34452042844850106,10,suicide,lens
block_ab,32,0.24923289716243743,0.19767773148900264,10,suicide,lens
block_ab,33,0.11251876205205917,0.40353967162218046,10,suicide,lens
block_ab,34,0.15654164105653762,0.2696374590134939,10,suicide,lens
block_ab,35,0.032942892611026765,0.410073899376151,10,suicide,lens
block_ab,36,0.21796165108680726,0.2912173776991981,10,suicide,lens
block_ab,37,0.24821846336126327,0.22813056229960957,10,suicide,lens
block_ab,38,0.22906481623649597,0.2166047026382324,10,suicide,lens
block_ab,39,0.1146679937839508,0.32938140813443423,10,suicide,lens
block_ba,0,1.143514233827591,0.17398547786070587,10,suicide,lens
block_ba,1,0.5174876160919666,0.2812774703608858,10,suicide,lens
block_ba,2,0.48205733820796015,0.23799902770478457,10,suicide,lens
block_ba,3,0.372862845659256,0.16828293971743988,10,suicide,lens
block_ba,4,0.30170893520116804,0.24448430764954182,10,suicide,lens
block_ba,5,0.20390855073928832,0.370907821323052,10,suicide,lens
block_ba,6,0.22953780442476274,0.17863928969742285,10,suicide,lens
block_ba,7,0.08123855739831924,0.29818022783522546,10,suicide,lens
block_ba,8,0.21925915628671647,0.17991676077242422,10,suicide,lens
block_ba,9,0.1670733407139778,0.2535201662246078,10,suicide,lens
block_ba,10,0.10768204182386398,0.3810568220840042,10,suicide,lens
block_ba,11,0.23087620586156846,0.3368697641819738,10,suicide,lens
block_ba,12,0.08859218806028366,0.3405941076493942,10,suicide,lens
block_ba,13,0.14276927709579468,0.3252526473730634,10,suicide,lens
block_ba,14,0.13233226984739305,0.38309470748158336,10,suicide,lens
block_ba,15,0.020762985944747923,0.358021781594348,10,suicide,lens
block_ba,16,0.1731787145137787,0.3521509283226829,10,suicide,lens
block_ba,17,0.42016667425632476,0.18565047928306466,10,suicide,lens
block_ba,18,0.4213168278336525,0.1553783188212651,10,suicide,lens
block_ba,19,0.31000726521015165,0.23175002600604816,10,suicide,lens
block_ba,20,0.2862450659275055,0.08857759374910837,10,suicide,lens
block_ba,21,0.20791828483343125,0.2197476784332348,10,suicide,lens
block_ba,22,0.23328794687986373,0.07673347000436426,10,suicide,lens
block_ba,23,0.3016366049647331,0.06675498708090519,10,suicide,lens
block_ba,24,0.18805499225854874,0.2711652758424301,10,suicide,lens
block_ba,25,0.2671566866338253,0.07762574695138962,10,suicide,lens
block_ba,26,0.17127305902540685,0.23430239559260838,10,suicide,lens
block_ba,27,0.22848053723573686,0.17667805852238153,10,suicide,lens
block_ba,28,0.21870053112506865,0.20342564417106962,10,suicide,lens
block_ba,29,0.1827426075935364,0.26314660513847904,10,suicide,lens
block_ba,30,0.1860691413283348,0.28129445156779476,10,suicide,lens
block_ba,31,0.2703235447406769,0.20848699321936182,10,suicide,lens
block_ba,32,0.3113056346774101,0.08693086683705922,10,suicide,lens
block_ba,33,0.27308999598026273,0.18307565414868265,10,suicide,lens
block_ba,34,0.24273713901638985,0.10467005435976913,10,suicide,lens
block_ba,35,0.18703901618719102,0.252928514119834,10,suicide,lens
