probe,run,k,score,is_jump
fr_L14,fr_s1_ar_d3_fam05_rf,12,1.089,False
fr_L14,fr_s1_ar_d3_fam05_rf,13,1.017,False
fr_L14,fr_s1_ar_d3_fam05_rf,14,1.078,False
fr_L14,fr_s1_ar_d3_fam05_rf,15,1.107,False
fr_L14,fr_s1_ar_d3_fam05_rf,16,1.017,False
fr_L14,fr_s1_ar_d3_fam05_rf,17,1.062,False
fr_L14,fr_s1_ar_d3_fam05_rf,18,1.065,False
fr_L14,fr_s1_ar_d3_fam05_rf,19,1.046,False
fr_L14,fr_s1_ar_d3_fam05_rf,20,1.026,False
fr_L14,fr_s1_ar_d3_fam06_fr,1,1.133,False
fr_L14,fr_s1_ar_d3_fam06_fr,2,1.057,False
fr_L14,fr_s1_ar_d3_fam06_fr,3,1.082,False
fr_L14,fr_s1_ar_d3_fam06_fr,4,0.957,True
fr_L14,fr_s1_ar_d3_fam06_fr,5,0.981,False
fr_L14,fr_s1_ar_d3_fam06_fr,6,0.968,False
fr_L14,fr_s1_ar_d3_fam06_fr,7,1.004,False
fr_L14,fr_s1_ar_d3_fam06_fr,8,0.879,False
fr_L14,fr_s1_ar_d3_fam06_fr,9,0.921,False
fr_L14,fr_s1_ar_d3_fam06_fr,10,0.807,False
fr_L14,fr_s1_ar_d3_fam06_fr,11,0.798,False
fr_L14,fr_s1_ar_d3_fam06_fr,12,0.915,False
fr_L14,fr_s1_ar_d3_fam06_fr,13,0.843,False
fr_L14,fr_s1_ar_d3_fam06_fr,14,0.932,False
fr_L14,fr_s1_ar_d3_fam06_fr,15,0.891,False
fr_L14,fr_s1_ar_d3_fam06_fr,16,0.848,False
fr_L14,fr_s1_ar_d3_fam06_fr,17,0.843,False
fr_L14,fr_s1_ar_d3_fam06_fr,18,0.847,False
fr_L14,fr_s1_ar_d3_fam06_fr,19,0.836,False
fr_L14,fr_s1_ar_d3_fam06_fr,20,0.825,False
fr_L14,fr_s1_ar_d3_fam06_rf,1,1.016,False
fr_L14,fr_s1_ar_d3_fam06_rf,2,0.985,False
fr_L14,fr_s1_ar_d3_fam06_rf,3,1.031,False
fr_L14,fr_s1_ar_d3_fam06_rf,4,0.961,False
fr_L14,fr_s1_ar_d3_fam06_rf,5,0.932,False
fr_L14,fr_s1_ar_d3_fam06_rf,6,0.9,False
fr_L14,fr_s1_ar_d3_fam06_rf,7,0.985,False
fr_L14,fr_s1_ar_d3_fam06_rf,8,0.919,False
fr_L14,fr_s1_ar_d3_fam06_rf,9,0.952,False
fr_L14,fr_s1_ar_d3_fam06_rf,10,0.939,False
fr_L14,fr_s1_ar_d3_fam06_rf,11,0.946,False
fr_L14,fr_s1_ar_d3_fam06_rf,12,0.974,False
fr_L14,fr_s1_ar_d3_fam06_rf,13,0.944,False
fr_L14,fr_s1_ar_d3_fam06_rf,14,0.915,False
fr_L14,fr_s1_ar_d3_fam06_rf,15,0.974,False
fr_L14,fr_s1_ar_d3_fam06_rf,16,0.989,False
fr_L14,fr_s1_ar_d3_fam06_rf,17,1.048,False
fr_L14,fr_s1_ar_d3_fam06_rf,18,1.225,True
fr_L14,fr_s1_ar_d3_fam06_rf,19,1.052,False
fr_L14,fr_s1_ar_d3_fam06_rf,20,1.036,False
fr_L14,fr_s1_ar_d3_fam07_fr,1,1.062,False
fr_L14,fr_s1_ar_d3_fam07_fr,2,1.027,False
fr_L14,fr_s1_ar_d3_fam07_fr,3,0.966,False
fr_L14,fr_s1_ar_d3_fam07_fr,4,1.101,False
fr_L14,fr_s1_ar_d3_fam07_fr,5,1.025,False
fr_L14,fr_s1_ar_d3_fam07_fr,6,0.988,False
fr_L14,fr_s1_ar_d3_fam07_fr,7,1.004,False
fr_L14,fr_s1_ar_d3_fam07_fr,8,0.955,False
fr_L14,fr_s1_ar_d3_fam07_fr,9,0.923,False
fr_L14,fr_s1_ar_d3_fam07_fr,10,0.961,False
fr_L14,fr_s1_ar_d3_fam07_fr,11,0.862,False
fr_L14,fr_s1_ar_d3_fam07_fr,12,0.861,False
fr_L14,fr_s1_ar_d3_fam07_fr,13,0.861,False
fr_L14,fr_s1_ar_d3_fam07_fr,14,0.962,False
fr_L14,fr_s1_ar_d3_fam07_fr,15,0.894,False
