set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds	sampled	temperature	top_p	seed
tank_d3_fam10_ab_beh_k02	session_84624069	1	1	1	ok	2048	2026-08-29	1	3044	70.9	1	1.0	1.0	20260907
tank_d3_fam10_ab_beh_k06	session_749862f4	1	1	1	ok	2048	2026-08-29	1	2226	63.3	1	1.0	1.0	20260907
tank_d3_fam10_ab_beh_k12	session_c866f0be	1	1	1	ok	2048	2026-08-29	1	6213	195.3	1	1.0	1.0	20260907
tank_d3_fam10_ab_beh_k20	session_ecf6ca52	1	1	1	ok	2048	2026-08-29	1	3032	112.7	1	1.0	1.0	20260907
tank_d3_fam10_ba_beh_k02	session_652b8c64	1	1	1	ok	2048	2026-08-29	1	2843	64.9	1	1.0	1.0	20260907
tank_d3_fam10_ba_beh_k06	session_4c2da660	1	1	1	ok	2048	2026-08-29	1	2918	74.4	1	1.0	1.0	20260907
tank_d3_fam10_ba_beh_k12	session_7d0c03c9	1	1	1	ok	2048	2026-08-29	1	3785	121.4	1	1.0	1.0	20260907
tank_d3_fam10_ba_beh_k20	session_17059ab0	1	1	1	ok	2048	2026-08-29	1	2701	116.1	1	1.0	1.0	20260907
tank_d3_fam11_ab_beh_k02	session_c2952ab5	1	1	1	ok	2048	2026-08-29	1	4387	107.2	1	1.0	1.0	20260907
tank_d3_fam11_ab_beh_k06	session_ca59d157	1	1	1	ok	2048	2026-08-29	1	3209	82.6	1	1.0	1.0	20260907
tank_d3_fam11_ab_beh_k12	session_94ac5ebe	1	1	1	ok	2048	2026-08-29	1	4973	135.0	1	1.0	1.0	20260907
tank_d3_fam11_ab_beh_k20	session_d183ea80	1	1	1	ok	2048	2026-08-29	1	3296	118.9	1	1.0	1.0	20260907
tank_d3_fam11_ba_beh_k02	session_e3965763	1	1	1	ok	2048	2026-08-29	1	4320	105.0	1	1.0	1.0	20260907
tank_d3_fam11_ba_beh_k06	session_fe3da338	1	1	1	ok	2048	2026-08-29	1	4248	116.0	1	1.0	1.0	20260907
tank_d3_fam11_ba_beh_k12	session_e63170a0	1	1	1	ok	2048	2026-08-29	1	2951	100.9	1	1.0	1.0	20260907
tank_d3_fam11_ba_beh_k20	session_fd1e3b0a	1	1	1	ok	2048	2026-08-29	1	1809	77.9	1	1.0	1.0	20260907
tank_d4_fam00_a_beh_final	session_8871d817	1	1	1	ok	2048	2026-08-29	1	1211	65.2	1	1.0	1.0	20260907
tank_d4_fam00_b_beh_final	session_f3895cf3	1	1	1	ok	2048	2026-08-29	1	4907	188.8	1	1.0	1.0	20260907
tank_d4_fam02_a_beh_final	session_caa9830b	1	1	1	ok	2048	2026-08-29	1	1787	90.4	1	1.0	1.0	20260907
tank_d4_fam02_b_beh_final	session_f3ba8d24	1	1	1	ok	2048	2026-08-29	1	3173	113.5	1	1.0	1.0	20260907
tank_d4_fam04_a_beh_final	session_b1a32f1e	1	1	1	ok	2048	2026-08-29	1	1357	76.5	1	1.0	1.0	20260907
tank_d4_fam04_b_beh_final	session_9dc535fa	1	1	1	ok	2048	2026-08-29	1	1706	75.7	1	1.0	1.0	20260907
tank_d4_fam06_a_beh_final	session_e534fd6a	1	1	1	ok	2048	2026-08-29	1	2173	98.1	1	1.0	1.0	20260907
tank_d4_fam06_b_beh_final	session_b5a21628	1	1	1	ok	2048	2026-08-29	1	1773	84.4	1	1.0	1.0	20260907
tank_d4_fam08_a_beh_final	session_a525c47e	1	1	1	ok	2048	2026-08-29	1	2750	103.6	1	1.0	1.0	20260907
tank_d4_fam08_b_beh_final	session_29a25f02	1	1	1	ok	2048	2026-08-29	1	2304	130.6	1	1.0	1.0	20260907
tank_d4_fam10_a_beh_final	session_d1f0f81b	1	1	1	ok	2048	2026-08-29	1	1620	77.2	1	1.0	1.0	20260907
tank_d4_fam10_b_beh_final	session_7b561884	1	1	1	ok	2048	2026-08-29	1	881	55.1	1	1.0	1.0	20260907
