set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
fr_s1_th_d3_fam04_rf_beh_k06	session_38ae7980	1	1	1	ok	2048	2026-08-29	0	9954	121.6
fr_s1_th_d3_fam04_rf_beh_k12	session_43ac7b31	1	1	1	ok	2048	2026-08-29	0	9999	158.5
fr_s1_th_d3_fam04_rf_beh_k20	session_d30d205e	1	1	1	ok	2048	2026-08-29	0	9992	194.9
fr_s1_th_d3_fam05_fr_beh_k02	session_ce26eece	1	1	1	ok	2048	2026-08-29	0	9947	112.4
fr_s1_th_d3_fam05_fr_beh_k06	session_8dd6313d	1	1	1	ok	2048	2026-08-29	1	1784	30.1
fr_s1_th_d3_fam05_fr_beh_k12	session_6a9ab450	1	1	1	ok	2048	2026-08-29	1	1928	37.6
fr_s1_th_d3_fam05_fr_beh_k20	session_97b00e81	1	1	1	ok	2048	2026-08-29	1	1756	50.1
fr_s1_th_d3_fam05_rf_beh_k02	session_b6423c22	1	1	1	ok	2048	2026-08-29	1	2180	38.7
fr_s1_th_d3_fam05_rf_beh_k06	session_d4e141f3	1	1	1	ok	2048	2026-08-29	0	9934	117.5
fr_s1_th_d3_fam05_rf_beh_k12	session_09d6b114	1	1	1	ok	2048	2026-08-29	0	9999	156.8
fr_s1_th_d3_fam05_rf_beh_k20	session_bfa51e2e	1	1	1	ok	2048	2026-08-29	0	9964	166.9
fr_s1_th_d3_fam06_fr_beh_k02	session_1d3597c6	1	1	1	ok	2048	2026-08-29	0	9960	111.0
fr_s1_th_d3_fam06_fr_beh_k06	session_c7aafbb9	1	1	1	ok	2048	2026-08-29	1	6630	79.4
fr_s1_th_d3_fam06_fr_beh_k12	session_fbdf6537	1	1	1	ok	2048	2026-08-29	0	9924	112.5
fr_s1_th_d3_fam06_fr_beh_k20	session_28c42da9	1	1	1	ok	2048	2026-08-29	0	9902	194.3
fr_s1_th_d3_fam06_rf_beh_k02	session_1e96cc1f	1	1	1	ok	2048	2026-08-29	1	2106	38.0
fr_s1_th_d3_fam06_rf_beh_k06	session_934a6506	1	1	1	ok	2048	2026-08-29	0	9982	147.9
fr_s1_th_d3_fam06_rf_beh_k12	session_95db4d56	1	1	1	ok	2048	2026-08-29	0	9959	112.5
fr_s1_th_d3_fam06_rf_beh_k20	session_81f28886	1	1	1	ok	2048	2026-08-29	0	9949	221.7
fr_s1_th_d3_fam07_fr_beh_k02	session_3948c821	1	1	1	ok	2048	2026-08-29	1	1618	31.6
fr_s1_th_d3_fam07_fr_beh_k06	session_4fb6af7d	1	1	1	ok	2048	2026-08-29	0	9718	117.9
fr_s1_th_d3_fam07_fr_beh_k12	session_3f44bb5b	1	1	1	ok	2048	2026-08-29	1	1757	30.9
fr_s1_th_d3_fam07_fr_beh_k20	session_a66bd606	1	1	1	ok	2048	2026-08-29	1	2009	47.6
fr_s1_th_d3_fam07_rf_beh_k02	session_fb1f6559	1	1	1	ok	2048	2026-08-29	1	6927	89.5
fr_s1_th_d3_fam07_rf_beh_k06	session_9f65bf5f	1	1	1	ok	2048	2026-08-29	1	2304	43.4
fr_s1_th_d3_fam07_rf_beh_k12	session_1611232a	1	1	1	ok	2048	2026-08-29	1	1725	43.4
fr_s1_th_d3_fam07_rf_beh_k20	session_80880a02	1	1	1	ok	2048	2026-08-29	1	1664	45.6
fr_s1_th_d3_fam08_fr_beh_k02	session_29d773a0	1	1	1	ok	2048	2026-08-30	0	9959	127.9
fr_s1_th_d3_fam08_fr_beh_k06	session_439bdfd6	1	1	1	ok	2048	2026-08-30	0	10221	111.7
fr_s1_th_d3_fam08_fr_beh_k12	session_2c162fdb	1	1	1	ok	2048	2026-08-30	0	9933	184.0
fr_s1_th_d3_fam08_fr_beh_k20	session_b5376b35	1	1	1	ok	2048	2026-08-30	0	9968	154.4
fr_s1_th_d3_fam08_rf_beh_k02	session_ef180987	1	1	1	ok	2048	2026-08-30	1	1960	28.7
fr_s1_th_d3_fam08_rf_beh_k06	session_4fb5bc3d	1	1	1	ok	2048	2026-08-30	0	9986	112.8
